epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1972.9,2.02735,1.31749,0.99253,0.46987,0.38356,0.35831,0.14207,2.15104,1.54419,1.17522,0.0012377,0.0012377,0.0012377
79,1991.19,1.95055,1.27411,0.97944,0.60158,0.36986,0.40858,0.16553,2.26,1.58777,1.24922,0.0012278,0.0012278,0.0012278
80,2010.6,1.92929,1.26459,0.99553,0.60009,0.37443,0.37714,0.14826,2.40884,1.88866,1.29442,0.0012179,0.0012179,0.0012179
81,2030.15,2.02067,1.33613,1.01404,0.62321,0.41553,0.42483,0.15413,2.36553,1.53299,1.23982,0.001208,0.001208,0.001208
82,2049.7,2.03365,1.33056,0.99704,0.53397,0.41096,0.41271,0.15938,2.54015,1.51072,1.37976,0.0011981,0.0011981,0.0011981
83,2068.53,1.98675,1.28068,0.97293,0.61969,0.379,0.40442,0.15628,2.18694,1.2396,1.23832,0.0011882,0.0011882,0.0011882
84,2093.07,1.98539,1.27255,0.98032,0.61723,0.36986,0.41444,0.15764,2.36084,1.36863,1.26159,0.0011783,0.0011783,0.0011783
85,2112.33,2.00907,1.29536,0.99035,0.59544,0.37443,0.40585,0.15934,2.22119,1.44519,1.25559,0.0011684,0.0011684,0.0011684
86,2131.47,1.9247,1.23343,0.99247,0.65186,0.37443,0.40996,0.1571,2.29139,1.55198,1.21904,0.0011585,0.0011585,0.0011585
87,2151.17,1.92473,1.25631,1.00234,0.56169,0.39726,0.41404,0.15946,2.3535,1.40537,1.23012,0.0011486,0.0011486,0.0011486
88,2170.23,1.97453,1.23479,0.97233,0.7225,0.33333,0.39345,0.14544,2.27531,1.54484,1.24178,0.0011387,0.0011387,0.0011387
89,2189.26,1.9833,1.2746,0.98578,0.62907,0.39726,0.41777,0.15922,2.18362,1.49627,1.14995,0.0011288,0.0011288,0.0011288
90,2208.02,1.92928,1.21966,0.96862,0.65473,0.36367,0.41654,0.15917,2.31698,1.66695,1.27906,0.0011189,0.0011189,0.0011189
91,2228.06,1.93497,1.22207,0.9852,0.55475,0.41096,0.40532,0.14505,2.59071,1.45829,1.37893,0.001109,0.001109,0.001109
92,2247.55,1.92115,1.19866,0.98029,0.52776,0.347,0.37235,0.14289,2.39546,1.58726,1.24774,0.0010991,0.0010991,0.0010991
93,2266.25,2.03092,1.26961,0.96682,0.5522,0.36037,0.36869,0.14517,2.37846,1.93741,1.3012,0.0010892,0.0010892,0.0010892
94,2294.36,1.9673,1.26612,0.98021,0.56687,0.379,0.3883,0.15455,2.25079,1.6052,1.1941,0.0010793,0.0010793,0.0010793
95,2312.69,1.91501,1.22229,0.97563,0.55607,0.36035,0.39177,0.16189,2.14664,2.09938,1.18815,0.0010694,0.0010694,0.0010694
96,2331.88,1.86587,1.18382,0.97357,0.56426,0.39269,0.3943,0.16344,2.51076,1.47014,1.33171,0.0010595,0.0010595,0.0010595
97,2350.26,1.96376,1.22244,0.97237,0.58811,0.3516,0.37827,0.15203,2.45469,2.22239,1.27099,0.0010496,0.0010496,0.0010496
98,2370.29,1.95092,1.28533,1.01523,0.70632,0.34247,0.41899,0.1701,2.16574,1.66267,1.18143,0.0010397,0.0010397,0.0010397
